Surface-Form,Link,Part-of-Speech
Grand Elixir of Immortality,https://en.wikipedia.org/wiki/Grand_Elixir_of_Immortality,NNP NNP IN NNP
universal panacea,https://en.wikipedia.org/wiki/universal_panacea,JJ NN
Black powder,https://en.wikipedia.org/wiki/Black_powder,NNP NN
Chinese,https://en.wikipedia.org/wiki/Chinese,JJ
potion,https://en.wikipedia.org/wiki/potion,NN
fireworks,https://en.wikipedia.org/wiki/fireworks,NNS
cannons,https://en.wikipedia.org/wiki/cannons,NNS
gunpowder,https://en.wikipedia.org/wiki/gunpowder,NN
Mongols,https://en.wikipedia.org/wiki/Mongols,NNS
Taoist,https://en.wikipedia.org/wiki/Taoist,NN
traditional Chinese medicine,https://en.wikipedia.org/wiki/traditional_Chinese_medicine,JJ JJ NN
Acupuncture,https://en.wikipedia.org/wiki/Acupuncture,NN
Moxibustion,https://en.wikipedia.org/wiki/Moxibustion,NN
Tai Chi Chuan,https://en.wikipedia.org/wiki/Tai_Chi_Chuan,NNP NNP NNP
Kung Fu,https://en.wikipedia.org/wiki/Kung_Fu,NNP NNP
Song dynasty,https://en.wikipedia.org/wiki/Song_dynasty,NNP NN
mercuric sulfide,https://en.wikipedia.org/wiki/mercuric_sulfide,JJ NN
qi,https://en.wikipedia.org/wiki/qi,NN
Medieval Europe,https://en.wikipedia.org/wiki/Medieval_Europe,NNP NNP
Robert of Chester,https://en.wikipedia.org/wiki/Robert_of_Chester,NNP IN NNP
"Toledo, Spain","https://en.wikipedia.org/wiki/Toledo,_Spain","NNP , NNP"
Gerard of Cremona,https://en.wikipedia.org/wiki/Gerard_of_Cremona,NNP IN NNP
Adelard of Bath,https://en.wikipedia.org/wiki/Adelard_of_Bath,NNP IN NNP
Turba Philosophorum,https://en.wikipedia.org/wiki/Turba_Philosophorum,NNP NNP
Avicenna,https://en.wikipedia.org/wiki/Avicenna,NNP
al-Razi,https://en.wikipedia.org/wiki/al-Razi,JJ
St Anselm,https://en.wikipedia.org/wiki/St_Anselm,NNP NNP
Peter Abelard,https://en.wikipedia.org/wiki/Peter_Abelard,NNP NNP
Robert Grosseteste,https://en.wikipedia.org/wiki/Robert_Grosseteste,NNP NNP
Albertus Magnus,https://en.wikipedia.org/wiki/Albertus_Magnus,NNP NNP
Roger Bacon,https://en.wikipedia.org/wiki/Roger_Bacon,NNP NNP
Dominican monk,https://en.wikipedia.org/wiki/Dominican_monk,JJ NN
Thomas Aquinas,https://en.wikipedia.org/wiki/Thomas_Aquinas,NNP NNP
Franciscan monk,https://en.wikipedia.org/wiki/Franciscan_monk,JJ NN
optics,https://en.wikipedia.org/wiki/optics,NNS
comparative linguistics,https://en.wikipedia.org/wiki/comparative_linguistics,JJ NNS
Great Work,https://en.wikipedia.org/wiki/Great_Work,NNP NN
Latin,https://en.wikipedia.org/wiki/Latin,NN
Pope Clement IV,https://en.wikipedia.org/wiki/Pope_Clement_IV,NNP NNP NNP
medieval university,https://en.wikipedia.org/wiki/medieval_university,NN NN
soteriology,https://en.wikipedia.org/wiki/soteriology,NN
brazen head,https://en.wikipedia.org/wiki/brazen_head,NNS NN
Pseudo-Geber,https://en.wikipedia.org/wiki/Pseudo-Geber,NNP
Paul of Taranto,https://en.wikipedia.org/wiki/Paul_of_Taranto,NNP IN NNP
human soul,https://en.wikipedia.org/wiki/human_soul,JJ NN
jargon,https://en.wikipedia.org/wiki/jargon,NN
observations,https://en.wikipedia.org/wiki/observations,NNS
theories,https://en.wikipedia.org/wiki/theories,NNS
Dante,https://en.wikipedia.org/wiki/Dante,NN
Piers Plowman,https://en.wikipedia.org/wiki/Piers_Plowman,NNS NNP
Chaucer,https://en.wikipedia.org/wiki/Chaucer,NN
Pope John XXII,https://en.wikipedia.org/wiki/Pope_John_XXII,NNP NNP NNP
Spondent quas non exhibent,https://en.wikipedia.org/wiki/Spondent_quas_non_exhibent,NNP NN NN NN
Petrus Bonus,https://en.wikipedia.org/wiki/Petrus_Bonus,NNP NNP
John of Rupescissa,https://en.wikipedia.org/wiki/John_of_Rupescissa,NNP IN NNP
Nicolas Flamel,https://en.wikipedia.org/wiki/Nicolas_Flamel,NNP NNP
pseudepigraphy,https://en.wikipedia.org/wiki/pseudepigraphy,NN
philosopher's stone,https://en.wikipedia.org/wiki/philosopher's_stone,NN POS NN
14th and 15th centuries,https://en.wikipedia.org/wiki/14th_and_15th_centuries,CD CC CD NNS
Bernard Trevisan,https://en.wikipedia.org/wiki/Bernard_Trevisan,NNP NNP
George Ripley,https://en.wikipedia.org/wiki/George_Ripley,NNP NNP
symbolism,https://en.wikipedia.org/wiki/symbolism,NN
Renaissance and early modern Europe,https://en.wikipedia.org/wiki/Renaissance_and_early_modern_Europe,NNP CC JJ JJ NNP
Renaissance magic,https://en.wikipedia.org/wiki/Renaissance_magic,NNP NN
natural magic,https://en.wikipedia.org/wiki/natural_magic,JJ NN
Renaissance,https://en.wikipedia.org/wiki/Renaissance,NN
Marsilo Ficino,https://en.wikipedia.org/wiki/Marsilo_Ficino,NNP NNP
Corpus Hermeticum,https://en.wikipedia.org/wiki/Corpus_Hermeticum,NNP NNP
Renaissance Humanism,https://en.wikipedia.org/wiki/Renaissance_Humanism,NNP NNP
Renaissance Neoplatonism,https://en.wikipedia.org/wiki/Renaissance_Neoplatonism,NNP NNP
Heinrich Cornelius Agrippa,https://en.wikipedia.org/wiki/Heinrich_Cornelius_Agrippa,NNP NNP NNP
Kabbalah,https://en.wikipedia.org/wiki/Kabbalah,NNP
Paracelsus,https://en.wikipedia.org/wiki/Paracelsus,NN
chrysopoeia,https://en.wikipedia.org/wiki/chrysopoeia,NN
spagyric,https://en.wikipedia.org/wiki/spagyric,NN
Iatrochemistry,https://en.wikipedia.org/wiki/Iatrochemistry,NN
John Dee,https://en.wikipedia.org/wiki/John_Dee,NNP NNP
astrologer,https://en.wikipedia.org/wiki/astrologer,NN
Queen Elizabeth I,https://en.wikipedia.org/wiki/Queen_Elizabeth_I,JJ NNP PRP
Royal Society,https://en.wikipedia.org/wiki/Royal_Society,NNP NNP
Robert Boyle,https://en.wikipedia.org/wiki/Robert_Boyle,NNP NNP
Elias Ashmole,https://en.wikipedia.org/wiki/Elias_Ashmole,NNP NNP
philosopher's stone,https://en.wikipedia.org/wiki/philosopher's_stone,NN POS NN
"Rudolf II, Holy Roman Emperor","https://en.wikipedia.org/wiki/Rudolf_II,_Holy_Roman_Emperor","NNP NNP , NNP NNP NNP"
Edward Kelley,https://en.wikipedia.org/wiki/Edward_Kelley,NNP NNP
King James IV of Scotland,https://en.wikipedia.org/wiki/King_James_IV_of_Scotland,VBG NNP NNP IN NNP
"Julius, Duke of Brunswick-Lüneburg","https://en.wikipedia.org/wiki/Julius,_Duke_of_Brunswick-Lüneburg","NNP , NNP IN NNP"
"Henry V, Duke of Brunswick-Lüneburg","https://en.wikipedia.org/wiki/Henry_V,_Duke_of_Brunswick-Lüneburg","NNP NNP , NNP IN NNP"
"Augustus, Elector of Saxony","https://en.wikipedia.org/wiki/Augustus,_Elector_of_Saxony","NNP , NNP IN NNP"
Julius Echter von Mespelbrunn,https://en.wikipedia.org/wiki/Julius_Echter_von_Mespelbrunn,NNP NNP NNP NNP
"Maurice, Landgrave of Hesse-Kassel","https://en.wikipedia.org/wiki/Maurice,_Landgrave_of_Hesse-Kassel","NNP , NNP IN NNP"
Arthur Dee,https://en.wikipedia.org/wiki/Arthur_Dee,NNP NNP
Michael I of Russia,https://en.wikipedia.org/wiki/Michael_I_of_Russia,NNP PRP IN NNP
Charles I of England,https://en.wikipedia.org/wiki/Charles_I_of_England,NNP PRP IN NNP
Fasciculus Chemicus,https://en.wikipedia.org/wiki/Fasciculus_Chemicus,CD NNP
Michael Maier,https://en.wikipedia.org/wiki/Michael_Maier,NNP NNP
Heinrich Khunrath,https://en.wikipedia.org/wiki/Heinrich_Khunrath,NNP NNP
con artists,https://en.wikipedia.org/wiki/con_artists,NN NNS
Tycho Brahe,https://en.wikipedia.org/wiki/Tycho_Brahe,NNP NNP
astronomical,https://en.wikipedia.org/wiki/astronomical,JJ
astrological,https://en.wikipedia.org/wiki/astrological,JJ
Uraniborg,https://en.wikipedia.org/wiki/Uraniborg,NN
Michael Sendivogius,https://en.wikipedia.org/wiki/Michael_Sendivogius,NNP NNP
Polish,https://en.wikipedia.org/wiki/Polish,JJ
oxygen,https://en.wikipedia.org/wiki/oxygen,NN
Cornelius Drebbel,https://en.wikipedia.org/wiki/Cornelius_Drebbel,NNP NNP
Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton,NNP NNP
Isaac Newton's occult studies,https://en.wikipedia.org/wiki/Isaac_Newton's_occult_studies,NNP NNP POS NN NNS
Robert Boyle,https://en.wikipedia.org/wiki/Robert_Boyle,NNP NNP
Jan Baptist van Helmont,https://en.wikipedia.org/wiki/Jan_Baptist_van_Helmont,NNP NNP NN NNP
Late modern period,https://en.wikipedia.org/wiki/Late_modern_period,JJ JJ NN
apogee,https://en.wikipedia.org/wiki/apogee,NN
James Price,https://en.wikipedia.org/wiki/James_Price,NNP NNP
Robert Boyle,https://en.wikipedia.org/wiki/Robert_Boyle,NNP NNP
Lavoisier,https://en.wikipedia.org/wiki/Lavoisier,JJR
John Dalton,https://en.wikipedia.org/wiki/John_Dalton,NNP NNP
Mary Anne Atwood,https://en.wikipedia.org/wiki/Mary_Anne_Atwood,NNP NNP NNP
Ethan Allen Hitchcock,https://en.wikipedia.org/wiki/Ethan_Allen_Hitchcock,NNP NNP NNP
Eliphas Levi,https://en.wikipedia.org/wiki/Eliphas_Levi,NNP NNP
Arthur Edward Waite,https://en.wikipedia.org/wiki/Arthur_Edward_Waite,NNP NNP NNP
Rudolf Steiner,https://en.wikipedia.org/wiki/Rudolf_Steiner,NNP NNP
Carl Reichenbach,https://en.wikipedia.org/wiki/Carl_Reichenbach,NNP NNP
Odic force,https://en.wikipedia.org/wiki/Odic_force,NNP NN
Women in alchemy,https://en.wikipedia.org/wiki/Women_in_alchemy,NNS IN NN
Michael Maier,https://en.wikipedia.org/wiki/Michael_Maier,NNP NNP
Mary the Jewess,https://en.wikipedia.org/wiki/Mary_the_Jewess,NNP DT NNP
Cleopatra the Alchemist,https://en.wikipedia.org/wiki/Cleopatra_the_Alchemist,NNP DT NNP
Medera,https://en.wikipedia.org/wiki/Medera,NN
Taphnutia,https://en.wikipedia.org/wiki/Taphnutia,NN
Isis the Prophetess,https://en.wikipedia.org/wiki/Isis_the_Prophetess,NNP DT NNP
Mary the Jewess,https://en.wikipedia.org/wiki/Mary_the_Jewess,NNP DT NNP
Zosimos of Panopolis,https://en.wikipedia.org/wiki/Zosimos_of_Panopolis,NNP IN NNP
pseudepigrapha,https://en.wikipedia.org/wiki/pseudepigrapha,NN
Perenelle Flamel,https://en.wikipedia.org/wiki/Perenelle_Flamel,NNP NNP
Mary Anne Atwood,https://en.wikipedia.org/wiki/Mary_Anne_Atwood,NNP NNP NNP
Modern historical research,https://en.wikipedia.org/wiki/Modern_historical_research,JJ JJ NN
philosophy,https://en.wikipedia.org/wiki/philosophy,NN
kabbalism,https://en.wikipedia.org/wiki/kabbalism,NN
spiritualism,https://en.wikipedia.org/wiki/spiritualism,NN
Rosicrucianism,https://en.wikipedia.org/wiki/Rosicrucianism,NN
Indiana University,https://en.wikipedia.org/wiki/Indiana_University,NNP NNP
University of Exeter,https://en.wikipedia.org/wiki/University_of_Exeter,NNP IN NNP
European Society for the Study of Western Esotericism,https://en.wikipedia.org/wiki/European_Society_for_the_Study_of_Western_Esotericism,JJ NNP IN DT NNP IN JJ NNP
University of Amsterdam,https://en.wikipedia.org/wiki/University_of_Amsterdam,NNP IN NNP
Bibliotheca Philosophica Hermetica,https://en.wikipedia.org/wiki/Bibliotheca_Philosophica_Hermetica,NNP NNP NNP
Ambix,https://en.wikipedia.org/wiki/Ambix,NN
Isis,https://en.wikipedia.org/wiki/Isis,NN
Core concepts,https://en.wikipedia.org/wiki/Core_concepts,NN NNS
Neoplatonism,https://en.wikipedia.org/wiki/Neoplatonism,NN
cosmology,https://en.wikipedia.org/wiki/cosmology,NN
Classical elements,https://en.wikipedia.org/wiki/Classical_elements,JJ NNS
Classical planets,https://en.wikipedia.org/wiki/Classical_planets,JJ NNS
metals of antiquity,https://en.wikipedia.org/wiki/metals_of_antiquity,NNS IN NN
prima materia,https://en.wikipedia.org/wiki/prima_materia,NN NNS
anima mundi,https://en.wikipedia.org/wiki/anima_mundi,NN NN
philosopher's stone,https://en.wikipedia.org/wiki/philosopher's_stone,NN POS NN
Hermetism,https://en.wikipedia.org/wiki/Hermetism,NN
Hermetic,https://en.wikipedia.org/wiki/Hermetic,JJ
Hermes Trismegistus,https://en.wikipedia.org/wiki/Hermes_Trismegistus,NNS VBP
Zosimos of Panopolis,https://en.wikipedia.org/wiki/Zosimos_of_Panopolis,NNP IN NNP
spiritual,https://en.wikipedia.org/wiki/spiritual,JJ
spiritual philosophy,https://en.wikipedia.org/wiki/spiritual_philosophy,JJ NN
Melchior Cibinensis,https://en.wikipedia.org/wiki/Melchior_Cibinensis,JJ NN
Pope Innocent VIII,https://en.wikipedia.org/wiki/Pope_Innocent_VIII,NNP NNP NNP
Martin Luther,https://en.wikipedia.org/wiki/Martin_Luther,NNP NNP
alchemical symbols,https://en.wikipedia.org/wiki/alchemical_symbols,JJ NNS
Magnum opus,https://en.wikipedia.org/wiki/Magnum_opus,NNP NN
Magnum opus (alchemy),https://en.wikipedia.org/wiki/Magnum_opus_(alchemy),NNP NN ( NN )
nigredo,https://en.wikipedia.org/wiki/nigredo,NN
albedo,https://en.wikipedia.org/wiki/albedo,NN
citrinitas,https://en.wikipedia.org/wiki/citrinitas,NNS
rubedo,https://en.wikipedia.org/wiki/rubedo,NN
Modern alchemy,https://en.wikipedia.org/wiki/Modern_alchemy,NNP NN
Lawrence M. Principe,https://en.wikipedia.org/wiki/Lawrence_M._Principe,NNP NNP NNP
William R. Newman,https://en.wikipedia.org/wiki/William_R._Newman,NNP NNP NNP
New Age,https://en.wikipedia.org/wiki/New_Age,NNP NNP
magic,https://en.wikipedia.org/wiki/magic,NN
Traditional medicine,https://en.wikipedia.org/wiki/Traditional_medicine,JJ NN
Ayurveda,https://en.wikipedia.org/wiki/Ayurveda,NN
Traditional Chinese medicine,https://en.wikipedia.org/wiki/Traditional_Chinese_medicine,JJ JJ NN
Ayurveda,https://en.wikipedia.org/wiki/Ayurveda,NN
samskaras,https://en.wikipedia.org/wiki/samskaras,NNS
heavy metals,https://en.wikipedia.org/wiki/heavy_metals,JJ NNS
Albert Richard Riedel,https://en.wikipedia.org/wiki/Albert_Richard_Riedel,NNP NNP NNP
Psychology,https://en.wikipedia.org/wiki/Psychology,NN
Carl Gustav Jung,https://en.wikipedia.org/wiki/Carl_Gustav_Jung,NNP NNP NNP
individuation,https://en.wikipedia.org/wiki/individuation,NN
hieros gamos,https://en.wikipedia.org/wiki/hieros_gamos,NNS VBP
archetypes,https://en.wikipedia.org/wiki/archetypes,NNS
Literature,https://en.wikipedia.org/wiki/Literature,NN
Alchemy in art and entertainment,https://en.wikipedia.org/wiki/Alchemy_in_art_and_entertainment,NNP IN NN CC NN
See also,https://en.wikipedia.org/wiki/See_also,NNP RB
Alchemy in art and entertainment,https://en.wikipedia.org/wiki/Alchemy_in_art_and_entertainment,NNP IN NN CC NN
Biological transmutation,https://en.wikipedia.org/wiki/Biological_transmutation,JJ NN
Chemistry,https://en.wikipedia.org/wiki/Chemistry,NN
Chinese alchemy,https://en.wikipedia.org/wiki/Chinese_alchemy,JJ NN
Cupellation,https://en.wikipedia.org/wiki/Cupellation,NN
Hermes Trismegistus,https://en.wikipedia.org/wiki/Hermes_Trismegistus,NNS VBP
Historicism,https://en.wikipedia.org/wiki/Historicism,NN
History of chemistry,https://en.wikipedia.org/wiki/History_of_chemistry,NN IN NN
List of alchemists,https://en.wikipedia.org/wiki/List_of_alchemists,NN IN NNS
List of topics characterized as pseudoscience,https://en.wikipedia.org/wiki/List_of_topics_characterized_as_pseudoscience,NN IN NNS VBN IN NN
Magnum opus (alchemy),https://en.wikipedia.org/wiki/Magnum_opus_(alchemy),NNP NN ( NN )
Mary the Jewess,https://en.wikipedia.org/wiki/Mary_the_Jewess,NNP DT NNP
Nuclear transmutation,https://en.wikipedia.org/wiki/Nuclear_transmutation,JJ NN
Outline of alchemy,https://en.wikipedia.org/wiki/Outline_of_alchemy,NN IN NN
Philosopher's Stone,https://en.wikipedia.org/wiki/Philosopher's_Stone,NNP POS NN
Physics,https://en.wikipedia.org/wiki/Physics,NNS
Porta Alchemica,https://en.wikipedia.org/wiki/Porta_Alchemica,NNP NNP
Scientific method,https://en.wikipedia.org/wiki/Scientific_method,NNP NN
Superseded scientific theories,https://en.wikipedia.org/wiki/Superseded_scientific_theories,VBN JJ NNS
Synthesis of precious metals,https://en.wikipedia.org/wiki/Synthesis_of_precious_metals,NN IN JJ NNS
Notes,https://en.wikipedia.org/wiki/Notes,NNS
References,https://en.wikipedia.org/wiki/References,NNS
Citations,https://en.wikipedia.org/wiki/Citations,NNS
Bibliography,https://en.wikipedia.org/wiki/Bibliography,NN
allegorical,https://en.wikipedia.org/wiki/allegorical,JJ
dystopian,https://en.wikipedia.org/wiki/dystopian,JJ
George Orwell,https://en.wikipedia.org/wiki/George_Orwell,NNP NNP
Russian Revolution of 1917,https://en.wikipedia.org/wiki/Russian_Revolution_of_1917,JJ NNP IN CD
Stalinist era,https://en.wikipedia.org/wiki/Stalinist_era,NNP NN
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union,NNP NNP
democratic socialist,https://en.wikipedia.org/wiki/democratic_socialist,JJ NN
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,NNP NNP
Stalinism,https://en.wikipedia.org/wiki/Stalinism,NN
Spanish Civil War,https://en.wikipedia.org/wiki/Spanish_Civil_War,JJ NNP NNP
dictatorship,https://en.wikipedia.org/wiki/dictatorship,NN
cult of personality,https://en.wikipedia.org/wiki/cult_of_personality,NN IN NN
a reign of terror,https://en.wikipedia.org/wiki/a_reign_of_terror,DT NN IN NN
satirical,https://en.wikipedia.org/wiki/satirical,JJ
Why I Write,https://en.wikipedia.org/wiki/Why_I_Write,WRB PRP VBP
Latin,https://en.wikipedia.org/wiki/Latin,NN
symbol of Russia,https://en.wikipedia.org/wiki/symbol_of_Russia,NN IN NNP
Victor Gollancz,https://en.wikipedia.org/wiki/Victor_Gollancz,NNP NNP
Cold War,https://en.wikipedia.org/wiki/Cold_War,NNP NNP
Modern Library List of Best 20th-Century Novels,https://en.wikipedia.org/wiki/Modern_Library_List_of_Best_20th-Century_Novels,NNP NNP NNP IN NNP JJ NNP
Hugo Award,https://en.wikipedia.org/wiki/Hugo_Award,NNP NNP
Great Books of the Western World,https://en.wikipedia.org/wiki/Great_Books_of_the_Western_World,NNP NNP IN DT JJ NNP
Plot summary,https://en.wikipedia.org/wiki/Plot_summary,NNP NN
Old Major,https://en.wikipedia.org/wiki/Old_Major,NNP NNP
Beasts of England,https://en.wikipedia.org/wiki/Beasts_of_England,NNS IN NNP
Snowball,https://en.wikipedia.org/wiki/Snowball,NN
Napoleon,https://en.wikipedia.org/wiki/Napoleon,NN
Mr. Jones,https://en.wikipedia.org/wiki/Mr._Jones,NNP NNP
Animalism,https://en.wikipedia.org/wiki/Animalism,NN
Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar,NNP NNP
windmill,https://en.wikipedia.org/wiki/windmill,NN
Squealer,https://en.wikipedia.org/wiki/Squealer,NN
scapegoat,https://en.wikipedia.org/wiki/scapegoat,NN
purge,https://en.wikipedia.org/wiki/purge,NN
Mr Frederick,https://en.wikipedia.org/wiki/Mr_Frederick,NNP NNP
blasting powder,https://en.wikipedia.org/wiki/blasting_powder,VBG NN
at great cost,https://en.wikipedia.org/wiki/at_great_cost,IN JJ NN
Boxer,https://en.wikipedia.org/wiki/Boxer,NN
knacker,https://en.wikipedia.org/wiki/knacker,NN
whisky,https://en.wikipedia.org/wiki/whisky,NN
animal glue,https://en.wikipedia.org/wiki/animal_glue,JJ NN
Characters,https://en.wikipedia.org/wiki/Characters,NNS
Pigs,https://en.wikipedia.org/wiki/Pigs,NNS
Old Major,https://en.wikipedia.org/wiki/Old_Major,NNP NNP
Middle White boar,https://en.wikipedia.org/wiki/Middle_White_boar,NNP NNP NN
Karl Marx,https://en.wikipedia.org/wiki/Karl_Marx,NNP NNP
Lenin,https://en.wikipedia.org/wiki/Lenin,NN
Russian Revolution,https://en.wikipedia.org/wiki/Russian_Revolution,JJ NNP
embalmed body was put on display,https://en.wikipedia.org/wiki/embalmed_body_was_put_on_display,VBN NN VBD VBN IN NN
Napoleon,https://en.wikipedia.org/wiki/Napoleon,NN
Berkshire,https://en.wikipedia.org/wiki/Berkshire,NN
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,NNP NNP
Caesar,https://en.wikipedia.org/wiki/Caesar,NN
Snowball,https://en.wikipedia.org/wiki/Snowball,NN
Leon Trotsky,https://en.wikipedia.org/wiki/Leon_Trotsky,NNP NNP
Squealer,https://en.wikipedia.org/wiki/Squealer,NN
Vyacheslav Molotov,https://en.wikipedia.org/wiki/Vyacheslav_Molotov,NNP NNP
Great Purge,https://en.wikipedia.org/wiki/Great_Purge,NNP NN
Grigori Zinoviev,https://en.wikipedia.org/wiki/Grigori_Zinoviev,NNP NNP
Lev Kamenev,https://en.wikipedia.org/wiki/Lev_Kamenev,NNP NNP
Nikolai Bukharin,https://en.wikipedia.org/wiki/Nikolai_Bukharin,NNP NNP
Alexei Rykov,https://en.wikipedia.org/wiki/Alexei_Rykov,NNP NNP
Humans,https://en.wikipedia.org/wiki/Humans,NNS
Mr Jones,https://en.wikipedia.org/wiki/Mr_Jones,NNP NNP
Tsar Nicholas II,https://en.wikipedia.org/wiki/Tsar_Nicholas_II,NNP NNP NNP
February Revolution,https://en.wikipedia.org/wiki/February_Revolution,NNP NNP
Bolsheviks,https://en.wikipedia.org/wiki/Bolsheviks,NNS
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,NNP NNP
a neutrality pact with Joseph Stalin's USSR,https://en.wikipedia.org/wiki/a_neutrality_pact_with_Joseph_Stalin's_USSR,DT NN NN IN NNP NNP POS NNP
invading the Soviet Union,https://en.wikipedia.org/wiki/invading_the_Soviet_Union,VBG DT NNP NNP
Mr Pilkington,https://en.wikipedia.org/wiki/Mr_Pilkington,NNP NNP
Horses and donkeys,https://en.wikipedia.org/wiki/Horses_and_donkeys,NNS CC NNS
Boxer,https://en.wikipedia.org/wiki/Boxer,NN
Stakhanovite movement,https://en.wikipedia.org/wiki/Stakhanovite_movement,NNP NN
knacker,https://en.wikipedia.org/wiki/knacker,NN
Benjamin,https://en.wikipedia.org/wiki/Benjamin,NNP
Other animals,https://en.wikipedia.org/wiki/Other_animals,JJ NNS
established religion,https://en.wikipedia.org/wiki/established_religion,VBN NN
Russian Orthodox Church,https://en.wikipedia.org/wiki/Russian_Orthodox_Church,JJ NNP NNP
Composition and publication,https://en.wikipedia.org/wiki/Composition_and_publication,NN CC NN
Origin,https://en.wikipedia.org/wiki/Origin,NN
Spanish Civil War,https://en.wikipedia.org/wiki/Spanish_Civil_War,JJ NNP NNP
Homage to Catalonia,https://en.wikipedia.org/wiki/Homage_to_Catalonia,NN TO NNP
Stalinist,https://en.wikipedia.org/wiki/Stalinist,NN
BBC,https://en.wikipedia.org/wiki/BBC,NN
Efforts to find a publisher,https://en.wikipedia.org/wiki/Efforts_to_find_a_publisher,NNS TO VB DT NN
Ministry of Information,https://en.wikipedia.org/wiki/Ministry_of_Information,NNP IN NNP
Secker and Warburg,https://en.wikipedia.org/wiki/Secker_and_Warburg,NNP CC NNP
Second World War,https://en.wikipedia.org/wiki/Second_World_War,JJ NNP NNP
Gollancz,https://en.wikipedia.org/wiki/Gollancz,NN
Faber and Faber,https://en.wikipedia.org/wiki/Faber_and_Faber,NNP CC NNP
T. S. Eliot,https://en.wikipedia.org/wiki/T._S._Eliot,NNP NNP NNP
Trotskyite,https://en.wikipedia.org/wiki/Trotskyite,NN
André Deutsch,https://en.wikipedia.org/wiki/André_Deutsch,NNP NNP
Partisan Review,https://en.wikipedia.org/wiki/Partisan_Review,NNP NNP
Jonathan Cape,https://en.wikipedia.org/wiki/Jonathan_Cape,NNP NNP
Soviet,https://en.wikipedia.org/wiki/Soviet,JJ
Leonard Moore,https://en.wikipedia.org/wiki/Leonard_Moore,NNP NNP
Peter Smollett,https://en.wikipedia.org/wiki/Peter_Smollett,NNP NNP
included in his list,https://en.wikipedia.org/wiki/included_in_his_list,VBN IN PRP$ NN
NKVD,https://en.wikipedia.org/wiki/NKVD,NN
Kim Philby,https://en.wikipedia.org/wiki/Kim_Philby,NNP NNP
Frederic Warburg,https://en.wikipedia.org/wiki/Frederic_Warburg,NNP NNP
Red Army,https://en.wikipedia.org/wiki/Red_Army,JJ NNP
David Low,https://en.wikipedia.org/wiki/David_Low,NNP NNP
Folio Society,https://en.wikipedia.org/wiki/Folio_Society,NNP NNP
Quentin Blake,https://en.wikipedia.org/wiki/Quentin_Blake,NNP NNP
Ralph Steadman,https://en.wikipedia.org/wiki/Ralph_Steadman,NNP NNP
Preface,https://en.wikipedia.org/wiki/Preface,NN
self-censorship,https://en.wikipedia.org/wiki/self-censorship,NN
literary censorship,https://en.wikipedia.org/wiki/literary_censorship,JJ NN
Ian Angus,https://en.wikipedia.org/wiki/Ian_Angus,NNP NNP
Bernard Crick,https://en.wikipedia.org/wiki/Bernard_Crick,NNP NNP
The Times Literary Supplement,https://en.wikipedia.org/wiki/The_Times_Literary_Supplement,DT NNP NNP NN
Critical response,https://en.wikipedia.org/wiki/Critical_response,JJ NN
New Republic,https://en.wikipedia.org/wiki/New_Republic,NNP NNP
The Guardian,https://en.wikipedia.org/wiki/The_Guardian,DT JJ
Tosco Fyvel,https://en.wikipedia.org/wiki/Tosco_Fyvel,NNP NNP
Tribune,https://en.wikipedia.org/wiki/Tribune,NN
Julian Symons,https://en.wikipedia.org/wiki/Julian_Symons,JJ NNS
Soviet Russia,https://en.wikipedia.org/wiki/Soviet_Russia,JJ NNP
Analysis,https://en.wikipedia.org/wiki/Analysis,NN
Animalism,https://en.wikipedia.org/wiki/Animalism,NN
Seven Laws of Noah,https://en.wikipedia.org/wiki/Seven_Laws_of_Noah,NNP NNP IN NNP
Communism,https://en.wikipedia.org/wiki/Communism,NN
allusion,https://en.wikipedia.org/wiki/allusion,NN
ironic,https://en.wikipedia.org/wiki/ironic,NN
dogma,https://en.wikipedia.org/wiki/dogma,NN
propaganda,https://en.wikipedia.org/wiki/propaganda,NN
Significance and allegory,https://en.wikipedia.org/wiki/Significance_and_allegory,NN CC NN
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc,JJ NNP
Nineteen Eighty-Four,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,JJ JJ
end of communism in 1989,https://en.wikipedia.org/wiki/end_of_communism_in_1989,NN IN NN IN CD
Samizdat,https://en.wikipedia.org/wiki/Samizdat,NN
October 1917 Bolshevik Revolution,https://en.wikipedia.org/wiki/October_1917_Bolshevik_Revolution,NNP CD NNP NNP
Soviet Russia,https://en.wikipedia.org/wiki/Soviet_Russia,JJ NNP
White Russians,https://en.wikipedia.org/wiki/White_Russians,NNP NNPS
Russian Civil War,https://en.wikipedia.org/wiki/Russian_Civil_War,JJ NNP NNP
Dwight Macdonald,https://en.wikipedia.org/wiki/Dwight_Macdonald,NNP NNP
Kronstadt revolt,https://en.wikipedia.org/wiki/Kronstadt_revolt,NNP NN
Five Year Plans,https://en.wikipedia.org/wiki/Five_Year_Plans,CD NN NNS
