Surface-Form,Link,Part-of-Speech
University of Notre Dame,https://en.wikipedia.org/wiki/University_of_Notre_Dame,NNP IN NNP NNP
Essanay Studios,https://en.wikipedia.org/wiki/Essanay_Studios,NNP NNP
East Coast,https://en.wikipedia.org/wiki/East_Coast,NNP NNP
Motion Picture Directors Association,https://en.wikipedia.org/wiki/Motion_Picture_Directors_Association,NNP NNP NNP NNP
Career,https://en.wikipedia.org/wiki/Career,NN
Flying A Studios,https://en.wikipedia.org/wiki/Flying_A_Studios,VBG DT NNS
"La Mesa, California","https://en.wikipedia.org/wiki/La_Mesa,_California","NNP NNP , NNP"
Flying A Studios,https://en.wikipedia.org/wiki/Flying_A_Studios,VBG DT NNS
"La Mesa, California","https://en.wikipedia.org/wiki/La_Mesa,_California","NNP NNP , NNP"
Mary Pickford,https://en.wikipedia.org/wiki/Mary_Pickford,NNP NNP
Douglas Fairbanks,https://en.wikipedia.org/wiki/Douglas_Fairbanks,NNP NNS
Robin Hood,https://en.wikipedia.org/wiki/Robin_Hood,NNP NNP
Gloria Swanson,https://en.wikipedia.org/wiki/Gloria_Swanson,NNP NNP
Phonofilm,https://en.wikipedia.org/wiki/Phonofilm,NN
Thomas Meighan,https://en.wikipedia.org/wiki/Thomas_Meighan,NNP NNP
Henri de la Falaise,https://en.wikipedia.org/wiki/Henri_de_la_Falaise,NNP NNP FW NNP
The Lambs,https://en.wikipedia.org/wiki/The_Lambs,DT NNP
talkies,https://en.wikipedia.org/wiki/talkies,NNS
Shirley Temple,https://en.wikipedia.org/wiki/Shirley_Temple,NNP NNP
Heidi,https://en.wikipedia.org/wiki/Heidi,NN
Rebecca of Sunnybrook Farm,https://en.wikipedia.org/wiki/Rebecca_of_Sunnybrook_Farm,NNP IN NNP NNP
Victor Fleming,https://en.wikipedia.org/wiki/Victor_Fleming,NNP NNP
The Wizard of Oz,https://en.wikipedia.org/wiki/The_Wizard_of_Oz,DT NNP IN NNP
Gone With the Wind,https://en.wikipedia.org/wiki/Gone_With_the_Wind,NN IN DT NNP
Marshall Neilan,https://en.wikipedia.org/wiki/Marshall_Neilan,DT NNP
Sands of Iwo Jima,https://en.wikipedia.org/wiki/Sands_of_Iwo_Jima,NNS IN NNP NNP
San Fernando Mission Cemetery,https://en.wikipedia.org/wiki/San_Fernando_Mission_Cemetery,NNP NNP NNP NNP
"Mission Hills, California","https://en.wikipedia.org/wiki/Mission_Hills,_California","NNP NNP , NNP"
Hollywood Walk of Fame,https://en.wikipedia.org/wiki/Hollywood_Walk_of_Fame,NNP NNP IN NNP
Hollywood Boulevard,https://en.wikipedia.org/wiki/Hollywood_Boulevard,NNP NNP
Partial filmography as director,https://en.wikipedia.org/wiki/Partial_filmography_as_director,JJ NN IN NN
The Gold Lust,https://en.wikipedia.org/wiki/The_Gold_Lust,DT NNP NNP
The Picket Guard,https://en.wikipedia.org/wiki/The_Picket_Guard,DT NNP NNP
The Restless Spirit,https://en.wikipedia.org/wiki/The_Restless_Spirit,DT NNP NNP
Back to Life,https://en.wikipedia.org/wiki/Back_to_Life,RB TO VB
Bloodhounds of the North,https://en.wikipedia.org/wiki/Bloodhounds_of_the_North,NNS IN DT NNP
The Lie,https://en.wikipedia.org/wiki/The_Lie,DT NN
The Honor of the Mounted,https://en.wikipedia.org/wiki/The_Honor_of_the_Mounted,DT NNP IN DT NNP
Remember Mary Magdalen,https://en.wikipedia.org/wiki/Remember_Mary_Magdalen,NNP NNP NNP
Discord and Harmony,https://en.wikipedia.org/wiki/Discord_and_Harmony,NNP CC NNP
The Embezzler,https://en.wikipedia.org/wiki/The_Embezzler,DT NNP
"The Lamb, the Woman, the Wolf","https://en.wikipedia.org/wiki/The_Lamb,_the_Woman,_the_Wolf","DT NNP , DT NNP , DT NNP"
The End of the Feud,https://en.wikipedia.org/wiki/The_End_of_the_Feud,DT NN IN DT NNP
The Tragedy of Whispering Creek,https://en.wikipedia.org/wiki/The_Tragedy_of_Whispering_Creek,DT NNP IN NNP NNP
The Unlawful Trade,https://en.wikipedia.org/wiki/The_Unlawful_Trade,DT NNP NNP
The Forbidden Room,https://en.wikipedia.org/wiki/The_Forbidden_Room,DT NNP NN
The Hopes of Blind Alley,https://en.wikipedia.org/wiki/The_Hopes_of_Blind_Alley,DT NNP IN NNP NNP
Richelieu,https://en.wikipedia.org/wiki/Richelieu,NN
Wildflower,https://en.wikipedia.org/wiki/Wildflower,JJR
A Small Town Girl,https://en.wikipedia.org/wiki/A_Small_Town_Girl,DT JJ NNP NNP
David Harum,https://en.wikipedia.org/wiki/David_Harum,NNP NNP
A Girl of Yesterday,https://en.wikipedia.org/wiki/A_Girl_of_Yesterday,DT NNP IN NN
The Pretty Sister of Jose,https://en.wikipedia.org/wiki/The_Pretty_Sister_of_Jose,DT NNP NNP IN NNP
Jordan Is a Hard Road,https://en.wikipedia.org/wiki/Jordan_Is_a_Hard_Road,NNP VBZ DT JJ NN
